rank,user,user_href,elo,gxe,rating
270,lucaluna,/users/lucaluna,1598,85.6%,1842 ± 66
271,thegreattheropon,/users/thegreattheropon,1598,74.7%,1706 ± 52
272,harcanino,/users/harcanino,1598,81.6%,1784 ± 59
273,Cxmbi,/users/cxmbi,1598,72.8%,1686 ± 34
274,Despacito87,/users/despacito87,1598,76.2%,1721 ± 56
275,inlecturern,/users/inlecturern,1597,69.8%,1658 ± 33
276,i am Trapinch,/users/iamtrapinch,1597,76.4%,1722 ± 28
277,keepingitreel,/users/keepingitreel,1597,69.6%,1656 ± 25
278,magicbro1,/users/magicbro1,1597,74.5%,1703 ± 41
279,Fgdfgfthgr,/users/fgdfgfthgr,1597,74.6%,1703 ± 26
280,Bitter Rival,/users/bitterrival,1597,86.2%,1851 ± 68
281,pokemonamiright,/users/pokemonamiright,1597,70.8%,1668 ± 48
282,tqtwterpy,/users/tqtwterpy,1597,86.0%,1848 ± 72
283,DOUAD howfalcons,/users/douadhowfalcons,1596,83.5%,1810 ± 65
284,Nsnsjdjdbdb,/users/nsnsjdjdbdb,1596,79.7%,1760 ± 45
285,douad timelines,/users/douadtimelines,1596,80.7%,1773 ± 60
286,Sorenklarq,/users/sorenklarq,1596,77.6%,1736 ± 51
287,projo2005,/users/projo2005,1596,62.5%,1596 ± 34
288,DOUFLu,/users/douflu,1596,86.7%,1861 ± 73
289,Yu-Pao-Lu- Chein,/users/yupaoluchein,1595,75.9%,1719 ± 57
290,67redsox,/users/67redsox,1595,83.9%,1814 ± 56
291,satouxi,/users/satouxi,1595,80.4%,1769 ± 56
292,Jgwhodat,/users/jgwhodat,1595,66.0%,1625 ± 26
293,Grass snake,/users/grasssnake,1595,71.4%,1674 ± 40
294,1O48576,/users/1o48576,1595,75.6%,1714 ± 41
295,Pie Smells Good,/users/piesmellsgood,1595,66.5%,1630 ± 40
296,DLTIC Jello,/users/dlticjello,1595,82.3%,1793 ± 59
297,DOUAD Slakoth,/users/douadslakoth,1594,83.1%,1803 ± 58
298,BenBenzZX,/users/benbenzzx,1594,69.6%,1657 ± 44
299,DLTIC JRL,/users/dlticjrl,1594,87.6%,1873 ± 60
300,DLTIC fangame10,/users/dlticfangame10,1594,88.6%,1892 ± 65
301,danielck,/users/danielck,1594,78.7%,1751 ± 72
302,ardansucksasss,/users/ardansucksasss,1594,76.2%,1721 ± 49
303,tusssk,/users/tusssk,1594,68.9%,1651 ± 37
304,LaloKhan²❤,/users/lalokhan,1593,80.2%,1766 ± 47
305,CoreyJJ,/users/coreyjj,1593,67.5%,1638 ± 36
306,NecasInTrouble,/users/necasintrouble,1593,81.6%,1785 ± 66
307,dior sv,/users/diorsv,1593,84.7%,1826 ± 59
308,RNG Mad,/users/rngmad,1592,74.6%,1705 ± 56
309,Tearlaments Merrli,/users/tearlamentsmerrli,1592,85.2%,1837 ± 77
310,ft4gt,/users/ft4gt,1592,69.0%,1651 ± 43
311,ty2k.mp3,/users/ty2kmp3,1591,67.3%,1636 ± 34
312,andrecc92,/users/andrecc92,1591,63.7%,1606 ± 34
313,Asdfk1066,/users/asdfk1066,1591,70.4%,1664 ± 39
314,Tiki3,/users/tiki3,1591,80.2%,1767 ± 55
315,DOULA fangame10,/users/doulafangame10,1591,88.8%,1895 ± 62
316,satouxi2,/users/satouxi2,1591,79.8%,1762 ± 58
317,Nerd159,/users/nerd159,1590,79.6%,1759 ± 56
318,DOU flat tax,/users/douflattax,1590,80.1%,1764 ± 50
319,Loudwinner,/users/loudwinner,1590,85.5%,1840 ± 71
320,PhoenixHawk0,/users/phoenixhawk0,1589,76.9%,1729 ± 50
321,djxchicago,/users/djxchicago,1589,80.8%,1773 ± 52
322,LoSconosciuto,/users/losconosciuto,1589,86.5%,1856 ± 67
323,Jrmoore896,/users/jrmoore896,1589,71.3%,1674 ± 58
324,benjivalentine,/users/benjivalentine,1589,69.9%,1659 ± 25
325,raulmario2004,/users/raulmario2004,1588,72.2%,1682 ± 55
326,douadvent,/users/douadvent,1588,82.1%,1791 ± 63
327,cigarrito,/users/cigarrito,1588,74.7%,1704 ± 32
328,DOUAD Actuarily,/users/douadactuarily,1588,83.5%,1811 ± 65
329,DOU Admonishment,/users/douadmonishment,1588,80.9%,1776 ± 59
330,DOUAD reffari,/users/douadreffari,1587,82.5%,1796 ± 64
331,DLTIC Lem,/users/dlticlem,1587,84.4%,1823 ± 59
332,dlticu,/users/dlticu,1587,86.9%,1860 ± 60
333,Jello1231,/users/jello1231,1587,84.2%,1819 ± 61
334,Kinak,/users/kinak,1587,71.6%,1675 ± 35
335,jasperSDx,/users/jaspersdx,1587,73.7%,1696 ± 48
336,chillburgernation,/users/chillburgernation,1587,83.7%,1812 ± 55
337,TPNVGC,/users/tpnvgc,1586,80.4%,1769 ± 61
338,raygonza,/users/raygonza,1586,73.5%,1693 ± 41
339,Team515,/users/team515,1586,73.2%,1691 ± 44
340,ChaoticHarmonica,/users/chaoticharmonica,1586,69.8%,1658 ± 28
341,Mountfelt,/users/mountfelt,1586,79.1%,1753 ± 49
342,Goldfish375,/users/goldfish375,1585,74.5%,1703 ± 41
343,ShellBreakers,/users/shellbreakers,1585,70.1%,1661 ± 42
344,AceInfinity,/users/aceinfinity,1585,77.6%,1736 ± 49
345,CMHERSOM,/users/cmhersom,1585,73.3%,1692 ± 53
346,TheNewMeliolizard,/users/thenewmeliolizard,1585,75.2%,1712 ± 65
347,ScorpionVenom00,/users/scorpionvenom00,1584,67.0%,1634 ± 42
348,walking moonlight,/users/walkingmoonlight,1584,83.3%,1808 ± 65
349,fangame10 stall,/users/fangame10stall,1583,76.4%,1723 ± 49
350,DOUAD Fey,/users/douadfey,1583,81.3%,1781 ± 63
351,DonulTrum,/users/donultrum,1583,71.4%,1672 ± 28
352,tkhanh,/users/tkhanh,1583,80.9%,1775 ± 60
353,grassphixia,/users/grassphixia,1583,81.8%,1788 ± 70
354,Kotori Sakura,/users/kotorisakura,1583,87.2%,1868 ± 70
